,word,pron,phono,segm,pseg,gpmatch
6066,malgré,malgRe,mal.gRe,.m.a.l.g.r.é,.m.a.l.g.R.e,(m-m.a-a.l-l.g-g.r-R.é-e)
6067,malheur,mal9R,ma.l9R,.m.a.l.h.eu.r,.m.a.l.#.9.R,(m-m.a-a.l-l.h-#.eu-9.r-R)
6068,malheureusement,mal9R2zm@,ma.l9.R2z.m@,.m.a.l.h.eu.r.eu.s.e.m.en.t,.m.a.l.#.9.R.2.z.#.m.@.#,(m-m.a-a.l-l.h-#.eu-9.r-R.eu-2.s-z.e-#.m-m.en-@.t-#)
6069,malheureux,mal9R2,ma.l9.R2,.m.a.l.h.eu.r.eu.x,.m.a.l.#.9.R.2.#,(m-m.a-a.l-l.h-#.eu-9.r-R.eu-2.x-#)
6070,malheureux,mal9R2,ma.l9.R2,.m.a.l.h.eu.r.eu.x,.m.a.l.#.9.R.2.#,(m-m.a-a.l-l.h-#.eu-9.r-R.eu-2.x-#)
6071,malice,malis,ma.lis,.m.a.l.i.c.e,.m.a.l.i.s.#,(m-m.a-a.l-l.i-i.c-s.e-#)
6072,malicieusement,malisj2zm@,ma.li.sj2z.m@,.m.a.l.i.c.i.eu.s.e.m.en.t,.m.a.l.i.s.j.2.z.#.m.@.#,(m-m.a-a.l-l.i-i.c-s.i-j.eu-2.s-z.e-#.m-m.en-@.t-#)
6073,malicieux,malisj2,ma.li.sj2,.m.a.l.i.c.i.eu.x,.m.a.l.i.s.j.2.#,(m-m.a-a.l-l.i-i.c-s.i-j.eu-2.x-#)
6074,maligne,maliN,ma.liN,.m.a.l.i.gn.e,.m.a.l.i.N.#,(m-m.a-a.l-l.i-i.gn-N.e-#)
6075,malin,mal5,ma.l5,.m.a.l.in,.m.a.l.5,(m-m.a-a.l-l.in-5)
6076,malin,mal5,ma.l5,.m.a.l.in,.m.a.l.5,(m-m.a-a.l-l.in-5)
6077,malins,mal5,ma.l5,.m.a.l.in.s,.m.a.l.5.#,(m-m.a-a.l-l.in-5.s-#)
6078,malle,mal,mal,.m.a.ll.e,.m.a.l.#,(m-m.a-a.ll-l.e-#)
6079,maltraités,maltRete,mal.tRe.te,.m.a.l.t.r.ai.t.é.s,.m.a.l.t.R.e.t.e.#,(m-m.a-a.l-l.t-t.r-R.ai-e.t-t.é-e.s-#)
6080,maman,mam@,ma.m@,.m.a.m.an,.m.a.m.@,(m-m.a-a.m-m.an-@)
6081,mamelle,mamEl,ma.mEl,.m.a.m.e.ll.e,.m.a.m.E.l.#,(m-m.a-a.m-m.e-E.ll-l.e-#)
6082,mamie,mami,ma.mi,.m.a.m.i.e,.m.a.m.i.#,(m-m.a-a.m-m.i-i.e-#)
6083,mammifère,mamifER,ma.mi.fER,.m.a.mm.i.f.è.r.e,.m.a.m.i.f.E.R.#,(m-m.a-a.mm-m.i-i.f-f.è-E.r-R.e-#)
6084,mammouth,mamut,ma.mut,.m.a.mm.ou.th,.m.a.m.u.t,(m-m.a-a.mm-m.ou-u.th-t)
6085,manche,m@S,m@S,.m.an.ch.e,.m.@.S.#,(m-m.an-@.ch-S.e-#)
6086,manche,m@S,m@S,.m.an.ch.e,.m.@.S.#,(m-m.an-@.ch-S.e-#)
6087,manches,m@S,m@S,.m.an.ch.e.s,.m.@.S.#.#,(m-m.an-@.ch-S.e-#.s-#)
6088,manchot,m@SO,m@.SO,.m.an.ch.o.t,.m.@.S.O.#,(m-m.an-@.ch-S.o-O.t-#)
6089,mandarine,m@daRin,m@.da.Rin,.m.an.d.a.r.i.n.e,.m.@.d.a.R.i.n.#,(m-m.an-@.d-d.a-a.r-R.i-i.n-n.e-#)
6090,mandarines,m@daRin,m@.da.Rin,.m.an.d.a.r.i.n.e.s,.m.@.d.a.R.i.n.#.#,(m-m.an-@.d-d.a-a.r-R.i-i.n-n.e-#.s-#)
6091,mandat,m@da,m@.da,.m.an.d.a.t,.m.@.d.a.#,(m-m.an-@.d-d.a-a.t-#)
6092,mandats,m@da,m@.da,.m.an.d.a.t.s,.m.@.d.a.#.#,(m-m.an-@.d-d.a-a.t-#.s-#)
6093,manège,manEZ,ma.nEZ,.m.a.n.è.g.e,.m.a.n.E.Z.#,(m-m.a-a.n-n.è-E.g-Z.e-#)
6094,manette,manEt,ma.nEt,.m.a.n.e.tt.e,.m.a.n.E.t.#,(m-m.a-a.n-n.e-E.tt-t.e-#)
6095,mange,m@Z,m@Z,.m.an.g.e,.m.@.Z.#,(m-m.an-@.g-Z.e-#)
6096,mangé,m@Ze,m@.Ze,.m.an.g.é,.m.@.Z.e,(m-m.an-@.g-Z.é-e)
6097,mangea,m@Za,m@.Za,.m.an.ge.a,.m.@.Z.a,(m-m.an-@.ge-Z.a-a)
6098,mangeaient,m@ZE,m@.ZE,.m.an.ge.ai.e.n.t,.m.@.Z.E .#.#.#,(m-m.an-@.ge-Z.ai-E.e-#.n-#.t-#)
6099,mangeait,m@ZE,m@.ZE,.m.an.ge.ai.t,.m.@.Z.E .#,(m-m.an-@.ge-Z.ai-E.t-#)
6100,mangeant,m@Z@,m@.Z@,.m.an.ge.an.t,.m.@.Z.@.#,(m-m.an-@.ge-Z.an-@.t-#)
6101,mangée,m@Ze,m@.Ze,.m.an.g.é.e,.m.@.Z.e.#,(m-m.an-@.g-Z.é-e.e-#)
6102,mangées,m@Ze,m@.Ze,.m.an.g.é.e.s,.m.@.Z.e.#.#,(m-m.an-@.g-Z.é-e.e-#.s-#)
6103,mangent,m@Z,m@Z,.m.an.g.e.n.t,.m.@.Z.#.#.#,(m-m.an-@.g-Z.e-#.n-#.t-#)
6104,mangeoire,m@ZwaR,m@.ZwaR,.m.an.ge.oi.r.e,.m.@.Z.wa.R.#,(m-m.an-@.ge-Z.oi-wa.r-R.e-#)
6105,mangeons,m@Z§,m@.Z§,.m.an.ge.on.s,.m.@.Z.§.#,(m-m.an-@.ge-Z.on-§.s-#)
6106,manger,m@Ze,m@.Ze,.m.an.g.er,.m.@.Z.e,(m-m.an-@.g-Z.er-e)
6107,manger,m@Ze,m@.Ze,.m.an.g.er,.m.@.Z.e,(m-m.an-@.g-Z.er-e)
6108,mangera,m@ZRa,m@Z.Ra,.m.an.g.e.r.a,.m.@.Z.#.R.a,(m-m.an-@.g-Z.e-#.r-R.a-a)
6109,mangerai,m@ZRE,m@Z.RE,.m.an.g.e.r.ai,.m.@.Z.#.R.E,(m-m.an-@.g-Z.e-#.r-R.ai-E)
6110,mangerais,m@ZRE,m@Z.RE,.m.an.g.e.r.ai.s,.m.@.Z.#.R.E.#,(m-m.an-@.g-Z.e-#.r-R.ai-E.s-#)
6111,mangerait,m@ZRE,m@Z.RE,.m.an.g.e.r.ai.t,.m.@.Z.#.R.E.#,(m-m.an-@.g-Z.e-#.r-R.ai-E.t-#)
6112,mangeras,m@ZRa,m@Z.Ra,.m.an.g.e.r.a.s,.m.@.Z.#.R.a.#,(m-m.an-@.g-Z.e-#.r-R.a-a.s-#)
6113,mangèrent,m@ZER,m@.ZER,.m.an.g.è.r.e.n.t,.m.@.Z.E.R.#.#.#,(m-m.an-@.g-Z.è-E.r-R.e-#.n-#.t-#)
6114,manges,m@Z,m@Z,.m.an.g.e.s,.m.@.Z.#.#,(m-m.an-@.g-Z.e-#.s-#)
6115,mangés,m@Ze,m@.Ze,.m.an.g.é.s,.m.@.Z.e.#,(m-m.an-@.g-Z.é-e.s-#)
6116,mangeur,m@Z9R,m@.Z9R,.m.an.g.eu.r,.m.@.Z.9.R,(m-m.an-@.g-Z.eu-9.r-R)
6117,mangez,m@Ze,m@.Ze,.m.an.g.ez,.m.@.Z.e,(m-m.an-@.g-Z.ez-e)
6118,mangiez,m@Zje,m@.Zje,.m.an.g.i.ez,.m.@.Z.j.e,(m-m.an-@.g-Z.i-j.ez-e)
6119,mangues,m@g,m@g,.m.an.gu.e.s,.m.@.g.#.#,(m-m.an-@.gu-g.e-#.s-#)
6120,manie,mani,ma.ni,.m.a.n.i.e,.m.a.n.i.#,(m-m.a-a.n-n.i-i.e-#)
6121,manière,manjER,ma.njER,.m.a.n.i.è.r.e,.m.a.n.j.E.R.#,(m-m.a-a.n-n.i-j.è-E.r-R.e-#)
6122,manivelle,manivEl,ma.ni.vEl,.m.a.n.i.v.e.ll.e,.m.a.n.i.v.E.l.#,(m-m.a-a.n-n.i-i.v-v.e-E.ll-l.e-#)
6123,manquait,m@kE,m@.kE,.m.an.qu.ai.t,.m.@.k.E.#,(m-m.an-@.qu-k.ai-E.t-#)
6124,manquant,m@k@,m@.k@,.m.an.qu.an.t,.m.@.k.@.#,(m-m.an-@.qu-k.an-@.t-#)
6125,manque,m@k,m@k,.m.an.qu.e,.m.@.k.#,(m-m.an-@.qu-k.e-#)
6126,manque,m@k,m@k,.m.an.qu.e,.m.@.k.#,(m-m.an-@.qu-k.e-#)
6127,manqué,m@ke,m@.ke,.m.an.qu.é,.m.@.k.e,(m-m.an-@.qu-k.é-e)
6128,manquerons,m@kR§,m@.kR§,.m.an.qu.e.r.on.s,.m.@.k.#.R.§.#,(m-m.an-@.qu-k.e-#.r-R.on-§.s-#)
6129,manquez,m@ke,m@.ke,.m.an.qu.ez,.m.@.k.e,(m-m.an-@.qu-k.ez-e)
6130,manteau,m@tO,m@.tO,.m.an.t.eau,.m.@.t.O,(m-m.an-@.t-t.eau-O)
6131,maquillage,makijaZ,ma.ki.jaZ,.m.a.qu.ill.a.g.e,.m.a.k.ij.a.Z.#,(m-m.a-a.qu-k.ill-ij.a-a.g-Z.e-#)
6132,maquille,makij,ma.kij,.m.a.qu.ill.e,.m.a.k.ij.#,(m-m.a-a.qu-k.ill-ij.e-#)
6133,maquillent,makij,ma.kij,.m.a.qu.ill.e.n.t,.m.a.k.ij.#.#.#,(m-m.a-a.qu-k.ill-ij.e-#.n-#.t-#)
6134,maquiller,makije,ma.ki.je,.m.a.qu.ill.er,.m.a.k.ij.e,(m-m.a-a.qu-k.ill-ij.er-e)
6135,maquillerais,makijRE,ma.kij.RE,.m.a.qu.ill.e.r.ai.s,.m.a.k.ij.#.R.E.#,(m-m.a-a.qu-k.ill-ij.e-#.r-R.ai-E.s-#)
6136,marbrés,maRbRe,maR.bRe,.m.a.r.b.r.é.s,.m.a.R.b.R.e.#,(m-m.a-a.r-R.b-b.r-R.é-e.s-#)
6137,marc,maRk,maRk,.m.a.r.c,.m.a.R.k,(m-m.a-a.r-R.c-k)
6138,marcel,maRsEl,maR.sEl,.m.a.r.c.e.l,.m.a.R.s.E.l,(m-m.a-a.r-R.c-s.e-E.l-l)
6139,marcha,maRSa,maR.Sa,.m.a.r.ch.a,.m.a.R.S.a,(m-m.a-a.r-R.ch-S.a-a)
6140,marchait,maRSE,maR.SE,.m.a.r.ch.ai.t,.m.a.R.S.E.#,(m-m.a-a.r-R.ch-S.ai-E.t-#)
6141,marchand,maRS@,maR.S@,.m.a.r.ch.an.d,.m.a.R.S.@.#,(m-m.a-a.r-R.ch-S.an-@.d-#)
6142,marchand,maRS@,maR.S@,.m.a.r.ch.an.d,.m.a.R.S.@.#,(m-m.a-a.r-R.ch-S.an-@.d-#)
6143,marchande,maRS@d,maR.S@d,.m.a.r.ch.an.d.e,.m.a.R.S.@.d.#,(m-m.a-a.r-R.ch-S.an-@.d-d.e-#)
6144,marchandises,maRS@diz,maR.S@.diz,.m.a.r.ch.an.d.i.s.e.s,.m.a.R.S.@.d.i.z.#.#,(m-m.a-a.r-R.ch-S.an-@.d-d.i-i.s-z.e-#.s-#)
6145,marchands,maRS@,maR.S@,.m.a.r.ch.an.d.s,.m.a.R.S.@.#.#,(m-m.a-a.r-R.ch-S.an-@.d-#.s-#)
6146,marchant,maRS@,maR.S@,.m.a.r.ch.an.t,.m.a.R.S.@.#,(m-m.a-a.r-R.ch-S.an-@.t-#)
6147,marche,maRS*,maR.S*,.m.a.r.ch.e,.m.a.R.S.*,(m-m.a-a.r-R.ch-S.e-*)
6148,marche,maRS*,maR.S*,.m.a.r.ch.e,.m.a.R.S.*,(m-m.a-a.r-R.ch-S.e-*)
6149,marché,maRSe,maR.Se,.m.a.r.ch.é,.m.a.R.S.e,(m-m.a-a.r-R.ch-S.é-e)
6150,marché,maRSe,maR.Se,.m.a.r.ch.é,.m.a.R.S.e,(m-m.a-a.r-R.ch-S.é-e)
6151,marchent,maRS*,maR.S*,.m.a.r.ch.e.n.t,.m.a.R.S.*.#.#,(m-m.a-a.r-R.ch-S.e-*.n-#.t-#)
6152,marcher,maRSe,maR.Se,.m.a.r.ch.er,.m.a.R.S.e,(m-m.a-a.r-R.ch-S.er-e)
6153,marcherais,maRS*RE,maR.S*.RE,.m.a.r.ch.e.r.ai.s,.m.a.R.S.*.R.E.#,(m-m.a-a.r-R.ch-S.e-*.r-R.ai-E.s-#)
6154,marches,maRS*,maR.S*,.m.a.r.ch.e.s,.m.a.R.S.*.#,(m-m.a-a.r-R.ch-S.e-*.s-#)
6155,marchez,maRSe,maR.Se,.m.a.r.ch.ez,.m.a.R.S.e,(m-m.a-a.r-R.ch-S.ez-e)
6156,mardi,maRdi,maR.di,.m.a.r.d.i,.m.a.R.d.i,(m-m.a-a.r-R.d-d.i-i)
6157,mare,maR,maR,.m.a.r.e,.m.a.R.#,(m-m.a-a.r-R.e-#)
6158,marée,maRe,ma.Re,.m.a.r.é.e,.m.a.R.e.#,(m-m.a-a.r-R.é-e.e-#)
6159,marelle,maREl,ma.REl,.m.a.r.e.ll.e,.m.a.R.E.l.#,(m-m.a-a.r-R.e-E.ll-l.e-#)
6160,marennes,maREn,ma.REn,.m.a.r.enn.e.s,.m.a.R.En.#.#,(m-m.a-a.r-R.enn-En.e-#.s-#)
6161,mares,maR,maR,.m.a.r.e.s,.m.a.R.#.#,(m-m.a-a.r-R.e-#.s-#)
6162,marge,maRZ*,maR.Z*,.m.a.r.g.e,.m.a.R.Z.*,(m-m.a-a.r-R.g-Z.e-*)
6163,marguerite,maRg*Rit,maR.g*.Rit,.m.a.r.gu.e.r.i.t.e,.m.a.R.g.*.R.i.t.#,(m-m.a-a.r-R.gu-g.e-*.r-R.i-i.t-t.e-#)
6164,marguerite,maRg*Rit,maR.g*.Rit,.m.a.r.gu.e.r.i.t.e,.m.a.R.g.*.R.i.t.#,(m-m.a-a.r-R.gu-g.e-*.r-R.i-i.t-t.e-#)
6165,marguerites,maRg*Rit,maR.g*.Rit,.m.a.r.gu.e.r.i.t.e.s,.m.a.R.g.*.R.i.t.#.#,(m-m.a-a.r-R.gu-g.e-*.r-R.i-i.t-t.e-#.s-#)
6166,mari,maRi,ma.Ri,.m.a.r.i,.m.a.R.i,(m-m.a-a.r-R.i-i)
6167,mariage,maRjaZ,ma.RjaZ,.m.a.r.i.a.g.e,.m.a.R.j.a.Z.#,(m-m.a-a.r-R.i-j.a-a.g-Z.e-#)
6168,marie,maRi,ma.Ri,.m.a.r.i.e,.m.a.R.i.#,(m-m.a-a.r-R.i-i.e-#)
6169,marie,maRi,ma.Ri,.m.a.r.i.e,.m.a.R.i.#,(m-m.a-a.r-R.i-i.e-#)
6170,marier,maRje,ma.Rje,.m.a.r.i.er,.m.a.R.j.e,(m-m.a-a.r-R.i-j.er-e)
6171,marièrent,maRjER,ma.RjER,.m.a.r.i.è.r.e.n.t,.m.a.R.j.E.R.#.#.#,(m-m.a-a.r-R.i-j.è-E.r-R.e-#.n-#.t-#)
6172,mariés,maRje,ma.Rje,.m.a.r.i.é.s,.m.a.R.j.e.#,(m-m.a-a.r-R.i-j.é-e.s-#)
6173,mariette,maRjEt,ma.RjEt,.m.a.r.i.e.tt.e,.m.a.R.j.E.t.#,(m-m.a-a.r-R.i-j.e-E.tt-t.e-#)
6174,marin,maR5,ma.R5,.m.a.r.in,.m.a.R.5,(m-m.a-a.r-R.in-5)
6175,marine,maRin,ma.Rin,.m.a.r.i.n.e,.m.a.R.i.n.#,(m-m.a-a.r-R.i-i.n-n.e-#)
6176,marine,maRin,ma.Rin,.m.a.r.i.n.e,.m.a.R.i.n.#,(m-m.a-a.r-R.i-i.n-n.e-#)
6177,marine,maRin,ma.Rin,.m.a.r.i.n.e,.m.a.R.i.n.#,(m-m.a-a.r-R.i-i.n-n.e-#)
6178,marinelands,maRinl@d,ma.Rin.l@d,.m.a.r.i.n.e.l.an.d.s,.m.a.R.i.n.#.l.@.d.#,(m-m.a-a.r-R.i-i.n-n.e-#.l-l.an-@.d-d.s-#)
6179,marins,maR5,ma.R5,.m.a.r.in.s,.m.a.R.5.#,(m-m.a-a.r-R.in-5.s-#)
6180,mario,maRjO,ma.RjO,.m.a.r.i.o,.m.a.R.j.O,(m-m.a-a.r-R.i-j.o-O)
6181,marion,maRj§,ma.Rj§,.m.a.r.i.on,.m.a.R.j.§,(m-m.a-a.r-R.i-j.on-§)
6182,marionnette,maRjonEt,ma.Rjo.nEt,.m.a.r.i.o.nn.e.tt.e,.m.a.R.j.o.n.E.t.#,(m-m.a-a.r-R.i-j.o-o.nn-n.e-E.tt-t.e-#)
6183,marionnettes,maRjonEt,ma.Rjo.nEt,.m.a.r.i.o.nn.e.tt.e.s,.m.a.R.j.o.n.E.t.#.#,(m-m.a-a.r-R.i-j.o-o.nn-n.e-E.tt-t.e-#.s-#)
6184,maritimes,maRitim,ma.Ri.tim,.m.a.r.i.t.i.m.e.s,.m.a.R.i.t.i.m.#.#,(m-m.a-a.r-R.i-i.t-t.i-i.m-m.e-#.s-#)
6185,marmelade,maRm*lad,maR.m*.lad,.m.a.r.m.e.l.a.d.e,.m.a.R.m.*.l.a.d.#,(m-m.a-a.r-R.m-m.e-*.l-l.a-a.d-d.e-#)
6186,marmite,maRmit,maR.mit,.m.a.r.m.i.t.e,.m.a.R.m.i.t.#,(m-m.a-a.r-R.m-m.i-i.t-t.e-#)
6187,marmonne,maRmon,maR.mon,.m.a.r.m.o.nn.e,.m.a.R.m.o.n.#,(m-m.a-a.r-R.m-m.o-o.nn-n.e-#)
6188,marmotte,maRmot,maR.mot,.m.a.r.m.o.tt.e,.m.a.R.m.o.t.#,(m-m.a-a.r-R.m-m.o-o.tt-t.e-#)
6189,marmottes,maRmot,maR.mot,.m.a.r.m.o.tt.e.s,.m.a.R.m.o.t.#.#,(m-m.a-a.r-R.m-m.o-o.tt-t.e-#.s-#)
6190,maroc,maRok,ma.Rok,.m.a.r.o.c,.m.a.R.o.k,(m-m.a-a.r-R.o-o.c-k)
6191,marou,maRu,ma.Ru,.m.a.r.ou,.m.a.R.u,(m-m.a-a.r-R.ou-u)
6192,marque,maRk*,maR.k*,.m.a.r.qu.e,.m.a.R.k.*,(m-m.a-a.r-R.qu-k.e-*)
6193,marque,maRk*,maR.k*,.m.a.r.qu.e,.m.a.R.k.*,(m-m.a-a.r-R.qu-k.e-*)
6194,marqué,maRke,maR.ke,.m.a.r.qu.é,.m.a.R.k.e,(m-m.a-a.r-R.qu-k.é-e)
6195,marquer,maRke,maR.ke,.m.a.r.qu.er,.m.a.R.k.e,(m-m.a-a.r-R.qu-k.er-e)
6196,marques,maRk*,maR.k*,.m.a.r.qu.e.s,.m.a.R.k.*.#,(m-m.a-a.r-R.qu-k.e-*.s-#)
6197,marraine,maREn,ma.REn,.m.a.rr.ai.n.e,.m.a.R.E.n.#,(m-m.a-a.rr-R.ai-E.n-n.e-#)
6198,marre,maR,maR,.m.a.rr.e,.m.a.R.#,(m-m.a-a.rr-R.e-#)
6199,marron,maR§,ma.R§,.m.a.rr.on,.m.a.R.§,(m-m.a-a.rr-R.on-§)
6200,marron,maR§,ma.R§,.m.a.rr.on,.m.a.R.§,(m-m.a-a.rr-R.on-§)
6201,marronniers,maRonje,ma.Ro.nje,.m.a.rr.o.nn.i.er.s,.m.a.R.o.n.j.e.#,(m-m.a-a.rr-R.o-o.nn-n.i-j.er-e.s-#)
6202,marrons,maR§,ma.R§,.m.a.rr.on.s,.m.a.R.§.#,(m-m.a-a.rr-R.on-§.s-#)
6203,mars,maRs,maRs,.m.a.r.s,.m.a.R.s,(m-m.a-a.r-R.s-s)
6204,marseille,maRsEj,maR.sEj,.m.a.r.s.e.ill.e,.m.a.R.s.E.j.#,(m-m.a-a.r-R.s-s.e-E.ill-j.e-#)
6205,marsouin,maRsw5,maR.sw5,.m.a.r.s.ou.in,.m.a.R.s.w.5,(m-m.a-a.r-R.s-s.ou-w.in-5)
6206,marteau,maRtO,maR.tO,.m.a.r.t.eau,.m.a.R.t.O,(m-m.a-a.r-R.t-t.eau-O)
6207,martin,maRt5,maR.t5,.m.a.r.t.in,.m.a.R.t.5,(m-m.a-a.r-R.t-t.in-5)
6208,martine,maRtin,maR.tin,.m.a.r.t.i.n.e,.m.a.R.t.i.n.#,(m-m.a-a.r-R.t-t.i-i.n-n.e-#)
6209,martinique,maRtinik,maR.ti.nik,.m.a.r.t.i.n.i.qu.e,.m.a.R.t.i.n.i.k.#,(m-m.a-a.r-R.t-t.i-i.n-n.i-i.qu-k.e-#)
6210,masculin,maskyl5,mas.ky.l5,.m.a.s.c.u.l.in,.m.a.s.k.y.l.5,(m-m.a-a.s-s.c-k.u-y.l-l.in-5)
6211,masque,mask*,mas.k*,.m.a.s.qu.e,.m.a.s.k.*,(m-m.a-a.s-s.qu-k.e-*)
6212,masques,mask*,mas.k*,.m.a.s.qu.e.s,.m.a.s.k.*.#,(m-m.a-a.s-s.qu-k.e-*.s-#)
6213,masqués,maske,mas.ke,.m.a.s.qu.é.s,.m.a.s.k.e.#,(m-m.a-a.s-s.qu-k.é-e.s-#)
6214,massaient,masE,ma.sE,.m.a.ss.ai.e.n.t,.m.a.s.E.#.#.#,(m-m.a-a.ss-s.ai-E.e-#.n-#.t-#)
6215,masse,mas,mas,.m.a.ss.e,.m.a.s.#,(m-m.a-a.ss-s.e-#)
6216,massif,masif,ma.sif,.m.a.ss.i.f,.m.a.s.i.f,(m-m.a-a.ss-s.i-i.f-f)
6217,massue,masy,ma.sy,.m.a.ss.u.e,.m.a.s.y.#,(m-m.a-a.ss-s.u-y.e-#)
6218,mastic,mastik,mas.tik,.m.a.s.t.i.c,.m.a.s.t.i.k,(m-m.a-a.s-s.t-t.i-i.c-k)
6219,mastic,mastik,mas.tik,.m.a.s.t.i.c,.m.a.s.t.i.k,(m-m.a-a.s-s.t-t.i-i.c-k)
6220,mât,mA,mA,.m.â.t,.m.A.#,(m-m.â-A.t-#)
6221,match,matS,matS,.m.a.t.ch,.m.a.t.S,(m-m.a-a.t-t.ch-S)
6222,matches,matS,matS,.m.a.t.ch.e.s,.m.a.t.S.#.#,(m-m.a-a.t-t.ch-S.e-#.s-#)
6223,matelas,matla,ma.tla,.m.a.t.e.l.a.s,.m.a.t.#.l.a.#,(m-m.a-a.t-t.e-#.l-l.a-a.s-#)
6224,matelot,matlO,ma.tlO,.m.a.t.e.l.o.t,.m.a.t.#.l.O.#,(m-m.a-a.t-t.e-#.l-l.o-O.t-#)
6225,matériaux,mateRjO,ma.te.RjO,.m.a.t.é.r.i.au.x,.m.a.t.e.R.j.O.#,(m-m.a-a.t-t.é-e.r-R.i-j.au-O.x-#)
6226,matériel,mateRjEl,ma.te.RjEl,.m.a.t.é.r.i.e.l,.m.a.t.e.R.j.E.l,(m-m.a-a.t-t.é-e.r-R.i-j.e-E.l-l)
6227,matériel,mateRjEl,ma.te.RjEl,.m.a.t.é.r.i.e.l,.m.a.t.e.R.j.E.l,(m-m.a-a.t-t.é-e.r-R.i-j.e-E.l-l)
6228,maternelle,matERnEl,ma.tER.nEl,.m.a.t.e.r.n.e.ll.e,.m.a.t.E.R.n.E.l.#,(m-m.a-a.t-t.e-E.r-R.n-n.e-E.ll-l.e-#)
6229,maternelle,matERnEl,ma.tER.nEl,.m.a.t.e.r.n.e.ll.e,.m.a.t.E.R.n.E.l.#,(m-m.a-a.t-t.e-E.r-R.n-n.e-E.ll-l.e-#)
6230,maternité,matERnite,ma.tER.ni.te,.m.a.t.e.r.n.i.t.é,.m.a.t.E.R.n.i.t.e,(m-m.a-a.t-t.e-E.r-R.n-n.i-i.t-t.é-e)
6231,mathieu,matj2,ma.tj2,.m.a.th.i.eu,.m.a.t.j.2,(m-m.a-a.th-t.i-j.eu-2)
6232,mathilda,matilda,ma.til.da,.m.a.th.i.l.d.a,.m.a.t.i.l.d.a,(m-m.a-a.th-t.i-i.l-l.d-d.a-a)
6233,mathilde,matild,ma.tild,.m.a.th.i.l.d.e,.m.a.t.i.l.d.#,(m-m.a-a.th-t.i-i.l-l.d-d.e-#)
6234,matin,mat5,ma.t5,.m.a.t.in,.m.a.t.5,(m-m.a-a.t-t.in-5)
6235,matinée,matine,ma.ti.ne,.m.a.t.i.n.é.e,.m.a.t.i.n.e.#,(m-m.a-a.t-t.i-i.n-n.é-e.e-#)
6236,matins,mat5,ma.t5,.m.a.t.in.s,.m.a.t.5.#,(m-m.a-a.t-t.in-5.s-#)
6237,matou,matu,ma.tu,.m.a.t.ou,.m.a.t.u,(m-m.a-a.t-t.ou-u)
6238,matthieu,matj2,ma.tj2,.m.a.tt.h.i.eu,.m.a.t.#.j.2,(m-m.a-a.tt-t.h-#.i-j.eu-2)
6239,maudite,mOdit,mO.dit,.m.au.d.i.t.e,.m.O.d.i.t.#,(m-m.au-O.d-d.i-i.t-t.e-#)
6240,maudits,mOdi,mO.di,.m.au.d.i.t.s,.m.O.d.i.#.#,(m-m.au-O.d-d.i-i.t-#.s-#)
6241,maurice,mORis,mO.Ris,.m.au.r.i.c.e,.m.O.R.i.s.#,(m-m.au-O.r-R.i-i.c-s.e-#)
6242,maurienne,mORjEn,mO.RjEn,.m.au.r.i.enn.e,.m.O.R.j.En.#,(m-m.au-O.r-R.i-j.enn-En.e-#)
6243,mauvais,movE,mo.vE,.m.au.v.ai.s,.m.o.v.E.#,(m-m.au-o.v-v.ai-E.s-#)
6244,mauvais,movE,mo.vE,.m.au.v.ai.s,.m.o.v.E.#,(m-m.au-o.v-v.ai-E.s-#)
6245,mauvaise,movEz,mo.vEz,.m.au.v.ai.s.e,.m.o.v.E.z.#,(m-m.au-o.v-v.ai-E.s-z.e-#)
6246,mauve,mOv,mOv,.m.au.v.e,.m.O.v.#,(m-m.au-O.v-v.e-#)
6247,max,maks,maks,.m.a.x,.m.a.ks,(m-m.a-a.x-ks)
6248,maximum,maksimom,mak.si.mom,.m.a.x.i.m.um,.m.a.ks.i.m.om,(m-m.a-a.x-ks.i-i.m-m.um-om)
6249,maximum,maksimom,mak.si.mom,.m.a.x.i.m.um,.m.a.ks.i.m.om,(m-m.a-a.x-ks.i-i.m-m.um-om)
6250,mayonnaise,majonEz,ma.jo.nEz,.m.ay.o.nn.ai.s.e,.m.aj.o.n.E.z.#,(m-m.ay-aj.o-o.nn-n.ai-E.s-z.e-#)
6251,me,m*,m*,.m.e,.m.*,(m-m.e-*)
6252,mécanicien,mekanisj5,me.ka.ni.sj5,.m.é.c.a.n.i.c.i.en,.m.e.k.a.n.i.s.j.5,(m-m.é-e.c-k.a-a.n-n.i-i.c-s.i-j.en-5)
6253,mécanique,mekanik,me.ka.nik,.m.é.c.a.n.i.qu.e,.m.e.k.a.n.i.k.#,(m-m.é-e.c-k.a-a.n-n.i-i.qu-k.e-#)
6254,mécaniques,mekanik,me.ka.nik,.m.é.c.a.n.i.qu.e.s,.m.e.k.a.n.i.k.#.#,(m-m.é-e.c-k.a-a.n-n.i-i.qu-k.e-#.s-#)
6255,mécano,mekanO,me.ka.nO,.m.é.c.a.n.o,.m.e.k.a.n.O,(m-m.é-e.c-k.a-a.n-n.o-O)
6256,méchanceté,meS@ste,me.S@s.te,.m.é.ch.an.c.e.t.é,.m.e.S.@.s.#.t.e,(m-m.é-e.ch-S.an-@.c-s.e-#.t-t.é-e)
